Negara,Iso-3,Tahun,Berat,Nilai
South Africa,ZAF,2010,410925.0,3781509.0
Albania,ALB,2010,100.0,500.0
Algeria,DZA,2010,28356.0,25349.0
United States,USA,2010,28772345.0,557758360.0
Angola,AGO,2010,354.0,3870.0
Argentina,ARG,2010,18243.0,187419.0
Aruba,ABW,2010,0.0,0.0
Australia,AUS,2010,340790.0,5856752.0
Austria,AUT,2010,14145.0,233771.0
Bahamass,BHS,2010,176.0,927.0
Bahrain,BHR,2010,618.0,7236.0
Bangladesh,BGD,2010,324668.0,1929146.0
Barbados,BRB,2010,118.0,2539.0
Netherlands,NLD,2010,2090185.0,27176815.0
Belgium,BEL,2010,88386.0,2891684.0
Belize,BLZ,2010,7093.0,20002.0
Benin,BEN,2010,98281.0,260911.0
Bermuda,BMU,2010,592.0,8936.0
Bolivia,BOL,2010,241.0,5705.0
Brazil,BRA,2010,21243.0,817634.0
Brunei Darussalam,BRN,2010,30026.0,296249.0
Bulgaria,BGR,2010,0.0,0.0
Chile,CHL,2010,28219.0,322564.0
China,CHN,2010,127227.0,1982403.0
Colombia,COL,2010,2548.0,37902.0
COOK ISLANDS,COK,2010,0.0,0.0
Costa Rica,CRI,2010,4243.0,71424.0
Cyprus,CYP,2010,1044.0,4793.0
Denmark,DNK,2010,55435.0,766757.0
Djibouti,DJI,2010,10025.0,35365.0
Ecuador,ECU,2010,0.0,0.0
El Salvador,SLV,2010,0.0,0.0
Ethiopia,ETH,2010,0.0,0.0
Russia,RUS,2010,39977.0,1079364.0
Fiji,FJI,2010,83298.0,594928.0
Finland,FIN,2010,12697.0,147829.0
French Polynesia,PYF,2010,5492.0,17843.0
Gambia,GMB,2010,16977.0,91497.0
Georgia,GEO,2010,0.0,0.0
Ghana,GHA,2010,35119.0,224176.0
Gibraltar,GIB,2010,0.0,0.0
Guadeloupe,GLP,2010,51.0,1733.0
Guam,GUM,2010,518.0,7388.0
Guinea,GIN,2010,0.0,0.0
Guyana,GUY,2010,3344.0,9512.0
Haiti,HTI,2010,0.0,0.0
Hong Kong,HKG,2010,121436.0,2937359.0
Hungary,HUN,2010,2301.0,16092.0
Iceland,ISL,2010,264.0,2504.0
India,IND,2010,759.0,16556.0
United Kingdom,GBR,2010,2305302.0,53781737.0
Iraq,IRQ,2010,9772.0,558600.0
Iran,IRN,2010,1451.0,2384.0
Ireland,IRL,2010,346.0,632.0
Israel,ISR,2010,9682.0,101574.0
Italy,ITA,2010,167110.0,5333470.0
Jamaica,JAM,2010,988.0,7215.0
Japan,JPN,2010,1053202.0,21575136.0
Germany,DEU,2010,5337841.0,126316805.0
JERSEY,JEY,2010,0.0,0.0
Jordan,JOR,2010,18807.0,106341.0
New Caledonia,NCL,2010,6775.0,86265.0
Cambodia,KHM,2010,108851.0,400259.0
Cameroon,CMR,2010,0.0,0.0
Canada,CAN,2010,988057.0,19487787.0
Kazakhstan,KAZ,2010,0.0,0.0
Kenya,KEN,2010,4118.0,7020.0
Republic of the Congo,COG,2010,0.0,0.0
South Korea,KOR,2010,348658.0,3082119.0
Croatia,HRV,2010,443.0,17387.0
Kuwait,KWT,2010,104366.0,1304627.0
Latvia,LVA,2010,1613.0,20217.0
Lebanon,LBN,2010,1413.0,22921.0
Libya,LBY,2010,26748.0,366500.0
Lithuania,LTU,2010,0.0,0.0
Luxembourg,LUX,2010,6.0,101.0
Macau,MAC,2010,39206.0,212099.0
Madagascar,MDG,2010,10720.0,4883.0
Maldives,MDV,2010,2790.0,45809.0
Malaysia,MYS,2010,841227.0,9546585.0
Malta,MLT,2010,1356.0,40241.0
Morocco,MAR,2010,172.0,3993.0
Martinique,MTQ,2010,352.0,634.0
Mauritania,MRT,2010,0.0,0.0
Mauritius,MUS,2010,5037.0,25220.0
Mexico,MEX,2010,426301.0,10152314.0
Egypt,EGY,2010,879601.0,13373600.0
Monaco,MCO,2010,0.0,0.0
Mongolia,MNG,2010,0.0,0.0
Myanmar,MMR,2010,0.0,0.0
Namibia,NAM,2010,0.0,0.0
Nepal,NPL,2010,424.0,13714.0
Netherlands Antilles,ANT,2010,1114.0,57447.0
